"ICD-10-AM Code","ICD-10-AM Code Descriptor","ICD-10 Map","Field4"
"Y03.39","Assault by unspecified crashing of motor vehicle, nontraffic, unspecified person","Y03",
"Y03.4","Assault by crashing of car with other motor vehicle, traffic","Y03",
"Y03.40","Assault by crashing of car with other motor vehicle, traffic, spouse or domestic partner","Y03",
"Y03.41","Assault by crashing of car with other motor vehicle, traffic, parent","Y03",
"Y03.42","Assault by crashing of car with other motor vehicle, traffic, other family member","Y03",
"Y03.43","Assault by crashing of car with other motor vehicle, traffic, carer","Y03",
"Y03.44","Assault by crashing of car with other motor vehicle, traffic, acquaintance or friend","Y03",
"Y03.45","Assault by crashing of car with other motor vehicle, traffic, official authorities","Y03",
"Y03.46","Assault by crashing of car with other motor vehicle, traffic, person unknown to the victim","Y03",
"Y03.47","Assault by crashing of car with other motor vehicle, traffic, multiple persons unknown to the victim","Y03",
"Y03.48","Assault by crashing of car with other motor vehicle, traffic, other specified person","Y03",
"Y03.49","Assault by crashing of car with other motor vehicle, traffic, unspecified person","Y03",
"Y03.5","Assault by crashing of car with fixed or stationary object, traffic","Y03",
"Y03.50","Assault by crashing of car with fixed or stationary object, traffic, spouse or domestic partner","Y03",
"Y03.51","Assault by crashing of car with fixed or stationary object, traffic, parent","Y03",
"Y03.52","Assault by crashing of car with fixed or stationary object, traffic, other family member","Y03",
"Y03.53","Assault by crashing of car with fixed or stationary object, traffic, carer","Y03",
"Y03.54","Assault by crashing of car with fixed or stationary object, traffic, acquaintance or friend","Y03",
"Y03.55","Assault by crashing of car with fixed or stationary object, traffic, official authorities","Y03",
"Y03.56","Assault by crashing of car with fixed or stationary object, traffic, person unknown to the victim","Y03",
"Y03.57","Assault by crashing of car with fixed or stationary object, traffic, multiple persons unknown to the victim","Y03",
"Y03.58","Assault by crashing of car with fixed or stationary object, traffic, other specified person","Y03",
"Y03.59","Assault by crashing of car with fixed or stationary object, traffic, unspecified person","Y03",
"Y03.8","Assault by other specified crashing of motor vehicle, traffic","Y03",
"Y03.80","Assault by other specified crashing of motor vehicle, traffic, spouse or domestic partner","Y03",
"Y03.81","Assault by other specified crashing of motor vehicle, traffic, parent","Y03",
"Y03.82","Assault by other specified crashing of motor vehicle, traffic, other family member","Y03",
"Y03.83","Assault by other specified crashing of motor vehicle, traffic, carer","Y03",
"Y03.84","Assault by other specified crashing of motor vehicle, traffic, acquaintance or friend","Y03",
"Y03.85","Assault by other specified crashing of motor vehicle, traffic, official authorities","Y03",
"Y03.86","Assault by other specified crashing of motor vehicle, traffic, person unknown to the victim","Y03",
"Y03.87","Assault by other specified crashing of motor vehicle, traffic, multiple persons unknown to the victim","Y03",
"Y03.88","Assault by other specified crashing of motor vehicle, traffic, other specified person","Y03",
"Y03.89","Assault by other specified crashing of motor vehicle, traffic, unspecified person","Y03",
"Y03.9","Assault by unspecified crashing of motor vehicle, traffic","Y03",
"Y03.90","Assault by unspecified crashing of motor vehicle, traffic, spouse or domestic partner","Y03",
"Y03.91","Assault by unspecified crashing of motor vehicle, traffic, parent","Y03",
"Y03.92","Assault by unspecified crashing of motor vehicle, traffic, other family member","Y03",
"Y03.93","Assault by unspecified crashing of motor vehicle, traffic, carer","Y03",
"Y03.94","Assault by unspecified crashing of motor vehicle, traffic, acquaintance or friend","Y03",
"Y03.95","Assault by unspecified crashing of motor vehicle, traffic, official authorities","Y03",
"Y03.96","Assault by unspecified crashing of motor vehicle, traffic, person unknown to the victim","Y03",
"Y03.97","Assault by unspecified crashing of motor vehicle, traffic, multiple persons unknown to the victim","Y03",
"Y03.98","Assault by unspecified crashing of motor vehicle, traffic, other specified person","Y03",
"Y03.99","Assault by unspecified crashing of motor vehicle, traffic, unspecified person","Y03",
"Y04.00","Assault by bodily force, spouse or domestic partner","Y04",
"Y04.01","Assault by bodily force, parent","Y04",
"Y04.02","Assault by bodily force, other family member ","Y04",
"Y04.03","Assault by bodily force, carer","Y04",
"Y04.04","Assault by bodily force, acquaintance or friend","Y04",
"Y04.05","Assault by bodily force, official authorities ","Y04",
"Y04.06","Assault by bodily force, person unknown to the victim","Y04",
"Y04.07","Assault by bodily force, multiple persons unknown to the victim","Y04",
"Y04.08","Assault by bodily force, other specified person","Y04",
"Y04.09","Assault by bodily force, unspecified person","Y04",
"Y05.00","Sexual assault by bodily force, spouse or domestic partner","Y05",
"Y05.01","Sexual assault by bodily force, parent","Y05",
"Y05.02","Sexual assault by bodily force, other family member","Y05",
"Y05.03","Sexual assault by bodily force, carer","Y05",
"Y05.04","Sexual assault by bodily force, acquaintance or friend","Y05",
"Y05.05","Sexual assault by bodily force, official authorities","Y05",
"Y05.06","Sexual assault by bodily force, person unknown to the victim","Y05",
"Y05.07","Sexual assault by bodily force, multiple persons unknown to the victim","Y05",
"Y05.08","Sexual assault by bodily force, other specified person","Y05",
"Y05.09","Sexual assault by bodily force, unspecified person","Y05",
"Y06.00","Neglect and abandonment, spouse or domestic partner","Y06",
"Y06.01","Neglect and abandonment, parent","Y06",
"Y06.02","Neglect and abandonment, other family member","Y06",
"Y06.03","Neglect and abandonment, carer","Y06",
"Y06.04","Neglect and abandonment, acquaintance or friend","Y06",
"Y06.05","Neglect and abandonment, official authorities","Y06",
"Y06.06","Neglect and abandonment, person unknown to the victim","Y06",
"Y06.07","Neglect and abandonment, multiple persons unknown to the victim","Y06",
"Y06.08","Neglect and abandonment, other specified person","Y06",
"Y06.09","Neglect and abandonment, unspecified person","Y06",
"Y07.00","Other maltreatment syndromes, spouse or domestic partner","Y07",
"Y07.01","Other maltreatment syndromes, parent","Y07",
"Y07.02","Other maltreatment syndromes, other family member","Y07",
"Y07.03","Other maltreatment syndromes, carer","Y07",
"Y07.04","Other maltreatment syndromes, acquaintance or friend","Y07",
"Y07.05","Other maltreatment syndromes, official authorities","Y07",
"Y07.06","Other maltreatment syndromes, person unknown to the victim","Y07",
"Y07.07","Other maltreatment syndromes, multiple persons unknown to the victim","Y07",
"Y07.08","Other maltreatment syndromes, other specified person","Y07",
"Y07.09","Other maltreatment syndromes, unspecified person","Y07",
"Y09.00","Assault by unspecified means, spouse or domestic partner","Y09",
"Y09.01","Assault by unspecified means, parent","Y09",
"Y09.02","Assault by unspecified means, other family member","Y09",
"Y09.03","Assault by unspecified means, carer","Y09",
"Y09.04","Assault by unspecified means, acquaintance or friend","Y09",
"Y09.05","Assault by unspecified means, official authorities","Y09",
"Y09.06","Assault by unspecified means, person unknown to the victim","Y09",
"Y09.07","Assault by unspecified means, multiple persons unknown to the victim","Y09",
"Y09.08","Assault by unspecified means, other specified person","Y09",
"Y09.09","Assault by unspecified means, unspecified person","Y09",
"Y17.0","Poisoning by and exposure to motor vehicle exhaust, undetermined intent","Y17",
"Y17.1","Poisoning by and exposure to liquefied petroleum gas (LPG), undetermined intent","Y17",
"Y17.2","Poisoning by and exposure to other specified utility gas, undetermined intent","Y17",
"Y17.8","Poisoning by and exposure to other specified gas or vapours, undetermined intent","Y17",
"Y17.9","Poisoning by and exposure to unspecified gas or vapours, undetermined intent","Y17",
"Y21.0","Drowning and submersion in bath-tub, undetermined intent","Y21",
"Y21.1","Drowning and submersion in swimming pool, undetermined intent","Y21",
"Y21.2","Drowning and submersion in natural water, undetermined intent","Y21",
"Y21.8","Drowning and submersion in other specified water, undetermined intent","Y21",
"Y21.9","Drowning and submersion in unspecified  water, undetermined intent","Y21",
"Y24.1","Air rifle discharge, undetermined intent","Y24",
"Y24.2","Shotgun discharge, undetermined intent","Y24",
"Y24.3","Small calibre rifle discharge, undetermined intent","Y24",
"Y24.4","Large calibre rifle discharge, undetermined intent","Y24",
"Y24.9","Discharge from other and unspecified firearms, undetermined intent","Y24",
"Y28.0","Contact with knife, undetermined intent","Y28",
"Y28.1","Contact with razor blade, undetermined intent","Y28",
"Y28.2","Contact with hypodermic needle and syringe, undetermined intent ","Y28",
